airline,count,delay_freq
DL,795409,0.21737873219940937
NK,106174,0.4066061370957108
HA,70030,0.24216764243895472
OO,539545,0.285523913667998
UA,467661,0.29700787536270934
AA,643992,0.27495372613324387
EV,525573,0.2886811156585289
US,197678,0.28910652677586784
B6,233147,0.31235229275950366
F9,82580,0.37718575926374426
WN,1152629,0.2916211547687938
MQ,272650,0.29328443058866677
AS,158054,0.23014918951750668
VX,56439,0.30035968036286964
