origin,destination,count,delay
SLC,BWI,992,270
PHX,KOA,288,141
PHL,ORD,4759,1749
BWI,MKE,858,329
DEN,KOA,86,40
LAX,BNA,1642,705
SEA,SAT,334,140
BOS,TPA,1102,429
IAD,MCO,1666,697
SFO,DAL,1318,620
ATL,LAS,4099,1354
BWI,SLC,992,328
OAK,AUS,336,160
ABQ,LAS,1265,440
ABQ,PDX,229,65
MSP,DFW,2575,925
DFW,EGE,434,187
SEA,STL,483,188
ORD,DTW,4301,1686
LGA,MYR,667,357
MSP,HIB,568,169
EWR,SFO,5029,1869
ORD,STC,82,48
TPA,CLT,2899,1012
CLT,STT,363,185
MSY,PHL,361,132
MDW,DEN,2720,994
MKE,FLL,378,68
PHX,BUR,1884,764
DEN,LIH,41,22
IAH,HDN,194,53
IAH,MTJ,171,66
MIA,DFW,3672,1294
SEA,AUS,461,225
ORD,TUL,2071,777
IAH,TUS,1153,479
MSY,MIA,622,186
IAH,IAD,1312,504
BWI,MDW,1976,742
LAX,DAL,2468,1188
PHX,OMA,1258,456
TPA,FNT,232,90
MCO,MIA,3034,1185
LIH,PDX,102,20
CHS,ORD,949,424
GSO,DFW,517,215
CAE,DFW,965,461
SLC,MFR,653,120
LGA,DAL,2563,746
OAK,LAX,6281,3395
PHX,HOU,1396,687
SLC,LAS,3731,1258
ATL,DFW,7056,2109
LAX,ORD,8256,2995
PBI,DTW,363,146
SFO,MIA,1022,399
ORD,JAN,578,218
ORD,GRB,2767,926
ORD,FSD,2042,893
DFW,MKE,1011,307
ORD,ICT,2190,993
ORD,SAT,1036,542
PBI,CLT,1616,553
BOS,DCA,7687,2530
MCO,BHM,658,192
MDW,MSP,2979,1297
OAK,BUR,3734,1474
RSW,ORD,1827,733
PHX,SEA,5770,2032
OGG,SMF,334,53
SLC,HNL,324,87
LAX,TPA,604,299
EWR,MCI,659,241
DTW,GRB,656,194
MEM,DFW,865,283
BMI,ORD,958,249
DTW,APN,573,129
EWR,DTW,2173,636
IAH,CLT,3469,1378
PBI,DCA,978,391
MCO,CLT,2957,1081
DCA,STL,973,252
DSM,LAS,334,106
EWR,AUS,925,295
EWR,MDW,1822,571
MHT,BWI,2221,635
SAT,DAL,3059,1193
ORD,SFO,7378,3217
JFK,PBI,1913,767
ORD,ASE,620,332
JFK,SYR,1016,428
CLE,DEN,1239,401
PHX,EWR,2106,695
LAS,SAT,1279,545
SAN,DEN,4189,1371
SAT,ATL,2865,778
DFW,PSP,723,304
OGG,PDX,580,141
MOB,DFW,964,431
ATL,BTR,2512,1058
ORD,LIT,2031,835
MCO,PVD,2032,860
ATL,GNV,2088,899
DEN,SBA,649,319
DEN,CLT,1902,729
BUR,PHX,1893,633
LAX,TUS,2635,1247
SAN,SMF,2792,1089
ORD,ROC,1656,500
EYW,ATL,1423,338
DTW,MCO,2635,1009
ATL,CRW,1314,494
ATL,CAE,2685,973
ATL,GPT,1414,399
MAF,HOU,1121,331
MDW,DAL,1991,694
ONT,LAS,1372,550
MIA,STX,536,257
DFW,RAP,522,208
ORD,MCI,2201,966
IAD,STL,9,8
COS,LAX,644,308
EWR,MKE,1090,399
AUS,HRL,326,136
BWI,BUF,1803,845
DAL,MDW,1980,774
DEN,HOU,1762,733
SNA,LAS,2412,930
ONT,OAK,2127,819
RNO,PHX,1723,564
ONT,DFW,1441,427
EGE,DFW,433,139
BOS,DTW,3423,1088
BTV,DTW,522,237
LGA,CHO,395,153
GJT,DFW,852,238
GRR,DFW,772,318
BOS,PHL,5313,1606
DCA,ATL,6461,1856
MCO,IND,1283,474
DTW,BWI,2412,712
LGA,MSP,2144,755
HPN,ATL,1877,916
FWA,DFW,647,188
DFW,GCK,662,249
IAH,ATL,3938,1427
DEN,CID,672,293
DTW,PLN,752,248
ORD,SAN,2673,1090
MCO,ORD,4427,1845
DAL,BWI,1094,429
DAL,SAT,3031,1409
MCO,DAL,1017,225
PIT,PHX,977,274
SAN,BNA,388,136
SFO,STL,884,425
SNA,DAL,529,198
MKE,DTW,1730,570
ACY,FLL,817,307
ASE,ATL,101,32
LAX,SMX,248,66
JAC,EWR,40,30
SFO,FAT,871,349
DEN,OMA,2041,942
TUL,ATL,1518,523
DTW,DSM,221,79
SNA,PHX,3846,1395
BUR,SJC,2120,660
DAL,LGA,2571,1242
EWR,HOU,870,221
MCI,PHX,1827,670
HOU,LGA,937,433
OKC,DEN,1754,631
DFW,ORF,631,241
BDL,DTW,1364,308
ORD,LNK,1166,508
DFW,GRR,770,382
BFL,IAH,492,160
DAL,DCA,2521,954
DEN,DTW,2682,1056
ABQ,OAK,799,241
PHX,OKC,657,365
HOU,GSP,321,186
HDN,ATL,95,31
GRB,DTW,653,165
MSY,DEN,1584,584
CMH,JFK,568,198
ASE,DFW,335,162
EUG,SFO,1863,605
LAX,ICT,58,37
DEN,EWR,2609,1090
CMH,PHX,1054,364
LAS,DSM,334,120
LAS,ONT,1372,720
LAS,RNO,3216,1170
PHX,AUS,1581,713
IAH,ORD,4294,1971
LAX,MIA,3023,1408
DTW,SFO,1309,421
DFW,MEI,573,249
IAH,RIC,519,283
IAH,XNA,1077,466
IAH,BTR,2320,801
ORD,IAD,1940,766
TTN,MSP,157,101
OGG,OAK,668,190
CRP,DFW,1497,666
IAH,TPA,1767,794
OGG,KOA,814,336
COD,SLC,340,172
FLL,STT,311,138
JAC,ORD,260,90
MDW,SAT,696,316
PHL,MDW,1892,627
JFK,BOS,5040,1936
EGE,MIA,126,61
AUS,JFK,1589,497
PBI,BDL,339,194
XNA,DFW,2224,975
LAX,SBA,1459,508
BZN,ORD,249,80
IAH,LIT,1772,674
LAX,FAT,2017,986
ORD,SLC,2600,1148
DEN,LAR,581,133
IAH,MEM,1733,798
LAS,BHM,334,149
LAX,MDW,1864,831
MAF,DAL,1522,607
MCI,SAN,481,163
MCO,MSY,1152,386
SFO,IAD,3478,1099
LAX,SEA,7732,2929
MCO,AUS,999,297
DFW,ASE,335,164
DEN,SLC,5859,2294
IAH,GRR,322,165
COS,ORD,934,407
IAH,TYS,776,329
LAS,IAH,2788,1011
IAD,MSP,591,165
LGB,SLC,1952,528
CLT,LGA,3610,1736
BWI,MHT,2211,993
HOU,BOS,928,407
LAS,SJC,2792,1154
RDU,MDW,1069,300
HOU,PHX,1388,488
DFW,MFE,1450,474
CLE,DFW,1569,538
MIA,BOS,2319,1056
DFW,PBI,848,369
RSW,JFK,1229,480
OGG,LIH,1321,680
DFW,VPS,1760,789
FSD,DEN,1333,563
LAX,EWR,4618,1505
CLT,PHL,3393,1542
CMH,MDW,1840,608
SFO,LGB,999,339
ORD,DAY,2643,927
SGF,DFW,2221,839
ORD,RIC,2141,826
ORD,CMI,1783,493
TYR,DFW,1612,648
HIB,MSP,569,187
GTF,DEN,774,237
ORD,AVL,715,318
ROC,MSP,123,30
ORD,BHM,1014,476
LAX,RNO,1913,874
SJC,SNA,2710,1062
TUL,LAS,334,130
TUS,ORD,607,170
ISN,DEN,1158,371
LEX,ATL,2280,707
CLE,MSP,758,274
CMH,DEN,892,330
ORD,MBS,1190,412
TUL,IAH,1800,552
XNA,IAH,1074,382
CMX,ORD,668,202
JMS,DVL,526,161
SGU,DEN,586,221
BUF,TPA,558,107
PVD,MDW,890,251
OAK,SNA,2471,1011
LAX,PDX,3278,958
BOS,MSY,334,133
ATL,DCA,6466,2273
MSP,DEN,5508,1905
ORD,SAV,864,381
ORD,CWA,1394,541
MCO,ILG,64,41
OGG,SJC,668,190
GRB,ORD,2767,1042
BIL,DEN,1104,294
MFR,SLC,653,112
SFO,SEA,6932,2663
SNA,ORD,2167,653
BDL,MDW,882,291
CMH,TPA,678,159
MDW,BUF,966,378
SMF,PDX,1578,578
OKC,DAL,923,314
DFW,TUL,2627,923
ELP,ORD,576,178
IAH,CAE,286,103
GCC,DEN,634,160
FAR,DEN,1226,421
BWI,RSW,1224,502
DAL,MCO,1014,430
PIT,DFW,1422,369
LGA,SRQ,432,195
CHS,DFW,252,119
ORD,GRR,2990,1113
GEG,SLC,1202,314
IAH,MOB,1511,601
GEG,DEN,1343,375
MCO,MSP,1586,542
SUN,DEN,115,48
MOT,DEN,1020,282
ORD,HPN,1800,530
BZN,IAH,21,14
CAK,RSW,198,50
DAL,STL,2104,960
RDU,BNA,997,308
SEA,OAK,3235,1472
DFW,LCH,782,319
ATL,ABE,904,360
DFW,DRO,798,287
ORD,SYR,1641,607
ORD,ALO,618,211
PHX,MCI,1825,832
OKC,SLC,607,146
BWI,BOS,4412,1840
LAS,AUS,1200,531
SAN,ATL,2045,438
SAN,MCI,479,215
SAT,PHX,1537,533
HOU,MDW,2087,770
DFW,DAY,933,319
DFW,RIC,806,248
LIT,DFW,1323,621
SEA,FAT,883,377
SAT,LAX,1556,611
APN,DTW,573,142
SMF,ORD,530,165
DCA,CLT,2502,995
IND,ATL,3816,1102
LAS,MKE,1099,399
AMA,LAS,334,75
ORD,MIA,4166,1593
PDX,LAX,3279,1151
DTW,MSP,2645,957
ATL,CLT,6306,2068
SLC,JAC,948,249
DFW,PNS,1155,509
DFW,CVG,2102,989
SAF,LAX,230,112
SLC,GJT,617,162
AUS,SFO,2051,750
ORD,PHL,4744,1734
MSP,CLT,2130,634
DEN,STL,1842,794
ISP,TPA,490,112
LAS,BOI,655,308
LAS,MDW,2722,1014
LAX,MSY,1859,700
ALB,LAS,274,80
MCI,CLT,1242,461
EWR,BNA,1948,705
MIA,CHS,254,105
ORD,MDT,1594,605
DFW,SAV,727,325
SLC,TWF,815,337
SLC,BOI,1579,467
SYR,JFK,1015,295
JAC,IAH,102,27
HNL,PHX,1137,436
ORD,CLT,4755,1750
JAX,CLT,2085,720
HRL,HOU,1554,462
SLC,OAK,2105,679
SLC,JFK,1839,685
EWR,XNA,229,69
SAV,ATL,3140,840
TUS,PDX,218,39
SGF,DEN,572,219
TPA,IAD,992,322
SMX,LAX,249,108
EWR,ATL,5097,1315
CVG,DEN,882,406
EWR,ORD,3706,1439
LIH,LAX,1304,317
DAL,AMA,1216,493
ISP,MCO,1060,302
LAS,SNA,2417,1025
SMF,ONT,2044,773
SFO,MCO,797,324
KOA,LAX,1385,424
DFW,ABQ,1796,602
MIA,STL,601,300
CAE,ATL,2684,821
CLE,MCO,1382,507
CHA,ORD,381,160
LGA,SDF,297,176
ATL,RIC,3572,1130
HSV,ORD,592,220
AUS,DEN,2852,1070
OMA,ORD,2004,746
PBI,PHL,1109,484
AUS,FLL,789,349
BUF,MDW,958,341
IND,RSW,753,230
OGG,PHX,556,116
MIA,IAD,809,398
ATL,ORF,2672,735
DFW,LFT,1616,690
DFW,CHS,251,135
TYS,LGA,73,46
ROC,LGA,189,67
OGG,LAX,2711,866
FLL,PHL,1915,736
LAX,PHL,1886,676
LAS,GEG,648,236
LAS,SMF,2489,1013
MCO,BUF,1521,601
MHT,MDW,866,226
SJC,ONT,1303,529
SEA,ORD,3950,1372
LCH,IAH,1078,211
DEN,TYS,285,141
DFW,HOU,1571,662
ORD,STL,2566,996
ORD,AZO,1326,350
RNO,LAX,1901,993
ICT,ORD,2097,808
EGE,EWR,111,46
DEN,MAF,1087,442
MDW,FLL,1159,454
MSY,STL,571,166
PHX,MDW,2256,857
PIT,MCO,1473,394
SJC,MDW,334,130
DFW,ELP,1359,470
LGA,PBI,2904,1152
CHO,LGA,396,161
DFW,AMA,1202,523
DFW,LIT,1322,668
JAX,IAD,13,5
EWR,MSN,326,120
AUS,ELP,868,288
BWI,BDL,2199,1065
DCA,HOU,1262,273
HOU,TUL,923,381
MCI,BOS,596,267
MCO,PHL,4867,2106
MSY,PHX,394,137
SFO,MDW,768,235
HOU,MSY,3049,1198
TPA,DFW,2500,806
DEN,ATL,5082,1795
DFW,GSO,515,286
GCK,DFW,663,226
FWA,ORD,2265,776
SAV,IAD,87,35
SUN,SFO,169,67
DEN,BIS,1285,540
TPA,PHL,2382,934
BNA,PHX,733,229
MCI,STL,1205,362
SNA,HOU,388,167
AUS,DFW,4674,1301
OGG,BLI,89,18
STL,IAD,9,3
DFW,GSP,484,223
DFW,CAE,965,499
DVL,DEN,240,75
HDN,IAH,194,54
JFK,ROC,1102,412
EWR,TPA,2110,778
CLT,BDL,1621,685
CLT,RSW,1726,699
AUS,HOU,1324,552
DCA,BNA,986,293
MCI,TPA,491,176
MCO,PIT,1464,612
MTJ,IAH,171,43
STT,JFK,548,166
IAH,AMA,899,298
CLT,IAD,16,11
DFW,CID,1027,464
GRI,DFW,634,164
FCA,SLC,886,166
DEN,ICT,840,357
EGE,IAH,135,55
IAH,LBB,1067,394
IAH,GRK,811,242
BNA,STL,627,212
BUF,BWI,1808,565
HOU,DFW,1569,606
DEN,MCI,2101,890
DEN,BNA,2074,866
MKE,DFW,1010,321
CVG,DFW,2097,752
SFO,ACV,1319,540
TUS,PHX,1155,375
PHX,PSP,1722,751
MCO,ACY,794,341
CLT,MIA,2983,1288
DAL,SFO,1319,666
AUS,TPA,338,157
BOS,JFK,5044,1868
LGA,DEN,3285,1182
DFW,MLU,958,406
MEI,PIB,573,193
DFW,MSN,939,420
ORD,SUX,620,193
MCI,ORD,2132,833
BWI,OKC,334,160
DAL,FLL,859,412
LAX,STL,1468,572
LBB,DAL,1572,490
LGA,STL,1636,604
ATL,DTW,4861,1752
EWR,MSP,1314,448
ORD,CAE,595,313
ORD,XNA,2597,1114
PHX,FAT,471,179
HNL,GUM,334,198
DAL,LBB,1572,620
MDW,AUS,881,362
MDW,BNA,2100,796
MKE,TPA,611,168
PHL,TPA,2425,871
GUC,DFW,129,48
DFW,CHA,641,321
LRD,DFW,1281,407
EWR,LAS,1707,538
XNA,ORD,2598,985
RSW,TTN,166,66
VPS,IAH,901,277
PNS,IAH,1419,477
ATL,SDF,2740,781
LAS,DAL,1435,578
MCO,SYR,335,154
FLL,ORH,334,116
ATL,CAK,2043,590
HNL,SMF,334,189
DFW,ACT,1611,646
MSP,LAS,2545,878
SEA,BOS,1496,638
MCO,DCA,3349,1200
IAH,PHL,2178,825
ATL,MCI,3478,1078
ATL,STL,3525,1115
DAL,TUL,939,504
HOU,DAL,6296,2749
LAS,MAF,557,263
MCO,SAT,496,164
OAK,ABQ,796,370
DFW,CMH,1511,456
ATL,PIT,3255,899
ATL,GRR,1291,337
ORD,MSN,3185,1075
PAH,ORD,666,195
SLC,SMF,1480,423
GRR,ORD,2820,953
FNT,LAS,334,91
IND,TPA,906,282
MCO,ATL,8202,2436
PHX,STL,2121,790
TUS,LAS,1104,353
DRO,DFW,798,293
ALO,ORD,617,172
DFW,XNA,2222,1092
IAH,DTW,1918,940
FLL,STL,488,109
SNA,SFO,4313,1864
OMA,DEN,2083,767
DFW,IAD,1303,477
SLC,PHL,616,181
LCH,DFW,782,282
DEN,ELP,921,432
JFK,CLE,304,80
JFK,CVG,334,109
DEN,BOI,1947,769
ATL,JAX,5106,1918
DEN,AMA,563,299
JAX,IAH,617,248
SGU,SLC,1191,326
ORD,SBN,1145,513
DAL,LIT,1018,499
LAS,BNA,885,352
SAN,AUS,637,243
DFW,MGM,969,454
SAN,IAH,1701,607
SLC,BNA,346,111
RSW,MSP,915,312
LAS,FLL,1033,617
MCO,BNA,1412,489
LAX,FLL,1747,1029
MCO,SWF,334,113
DTW,SEA,1894,697
MSP,JFK,820,233
DFW,MHK,985,357
IAH,BRO,1303,422
VPS,DFW,1759,750
DFW,PIA,929,370
DSM,DFW,859,285
DTW,LAX,2003,708
MSP,SBN,553,189
BDL,ATL,2341,583
STT,EWR,239,94
SEA,ONT,898,247
DFW,JLN,666,258
SFO,ANC,162,75
GPT,IAH,1257,361
DEN,JAC,950,412
BOS,BNA,628,178
CRP,HOU,1249,364
LAS,HOU,1407,563
LAS,LIT,334,126
RDU,TPA,869,296
SAT,TPA,326,141
TPA,BHM,629,221
ONT,SMF,2024,748
RIC,FLL,334,111
HPN,PBI,1036,465
MSP,JAX,184,57
DTW,OKC,327,109
BHM,DEN,330,127
CLE,CLT,1157,309
DCA,MCI,637,172
HOU,CLT,379,197
ISP,PBI,697,251
MCO,SAN,505,130
MDW,BOS,1385,662
STL,ATL,3520,920
IAH,HSV,885,334
IAH,IND,979,400
IAH,BNA,1042,459
SGF,ATL,1294,503
XNA,ATL,1575,578
DEN,SJC,2122,798
EWR,STL,1806,669
AUS,LGB,475,200
STT,PHL,226,87
HOU,AUS,1313,648
HOU,MCO,1399,717
MSP,ANC,575,260
PIB,DFW,239,118
MSP,TPA,1070,333
DTW,MCI,1420,487
DEN,PUB,264,65
SAT,SFO,365,146
DEN,BMI,3,2
AUS,EWR,943,314
PIT,ORD,1785,626
DEN,LNK,762,323
PHL,MCO,4869,1909
MSY,AUS,344,122
SAN,DAL,714,276
SJC,SAN,3021,1413
ELP,DFW,1359,433
LGA,TPA,1945,669
LFT,DFW,1617,593
DEN,OKC,1804,746
EVV,DFW,360,123
ORD,OMA,2036,793
MSP,STL,2273,792
DEN,IND,1892,767
IAH,MSY,2758,1145
BNA,MSY,1037,324
LAS,STL,1424,501
ABQ,SEA,408,74
RSW,MDW,1176,353
SAN,SJC,3022,1313
MSP,RIC,328,195
SPI,DFW,589,185
MBS,ORD,1192,345
PHL,PBI,1110,468
FLL,CMH,312,102
MCO,ROC,395,126
PHX,OAK,2512,975
HOU,MAF,1130,454
PNS,DFW,1156,436
DFW,BIS,334,145
GRR,IAH,293,127
IAH,BOS,1675,646
PHX,MIA,618,289
SFO,SNA,4314,1503
PHL,LAX,1886,724
PHL,BOS,5317,1970
BDL,BWI,2217,618
BOS,MKE,601,235
BWI,IND,1028,470
DCA,MSY,706,192
PHX,BWI,1603,624
SFO,RDU,521,166
RSW,DFW,1165,404
RSW,BDL,400,154
ATL,CMH,3277,992
ORD,LEX,2014,686
AMA,DFW,1202,456
ACT,DFW,1612,466
GRK,IAH,810,227
BNA,DEN,2008,634
PHL,MSY,359,114
ATL,RDU,4717,1412
DCA,MDW,2906,799
DEN,ABQ,1660,687
ANC,SFO,172,73
DTW,CID,725,222
ORD,FWA,2261,712
ELP,DEN,872,281
PHL,PIT,883,334
STL,MCO,1529,516
TPA,FLL,1899,642
BOS,LGB,276,124
ATL,CVG,2376,720
MLU,DFW,959,334
DFW,TYS,1626,925
BMI,DFW,652,209
MSP,RHI,667,180
MSP,MKE,2204,655
RIC,ATL,3572,954
ILG,MCO,66,31
CLT,FLL,2435,972
DAL,BHM,684,336
MCI,ABQ,315,132
PIT,TPA,848,208
TUL,HOU,929,358
JFK,DFW,559,150
ATL,JFK,1910,770
LGA,CHS,149,51
ORD,CVG,4011,1573
DFW,LAW,1330,469
CLT,RDU,2127,852
PHL,SAN,794,251
PHL,ATL,6621,2191
ORD,FLL,2531,926
BDL,FLL,945,296
EWR,CLE,1593,583
DFW,SAF,973,312
LAX,MRY,1529,569
PHX,DRO,699,186
PHL,SFO,2072,698
BHM,DAL,686,193
BWI,CMH,1414,588
BWI,DAY,695,292
CAK,LGA,500,187
MAF,LAS,559,176
SAN,SAT,626,271
OMA,MDW,1677,525
DFW,OMA,1362,455
PHL,MIA,2661,1220
HNL,JFK,314,158
IND,ORD,3075,1019
DFW,SGF,2222,938
JFK,BUF,2461,873
CLT,BUF,1206,521
RDU,BWI,1952,759
SMF,SEA,3424,1378
MSY,ATL,5593,1725
AUS,BNA,635,210
BOS,MDW,1391,503
BUF,LAS,545,122
BWI,TPA,2177,865
DAL,ATL,2872,975
STL,MIA,601,283
CRW,DFW,146,90
HSV,DFW,279,100
MIA,PNS,496,199
TPA,EWR,2101,826
AUS,LBB,320,103
BWI,ATL,5837,1903
DEN,PDX,3436,1222
LIT,BWI,320,126
MDW,DCA,2895,885
RSW,BWI,1218,447
SNA,OAK,2485,903
TPA,MDW,1461,499
SUX,ORD,620,189
LEX,IAH,309,134
KTN,SIT,334,116
RDU,LAX,803,294
BNA,HOU,1225,455
RSW,IND,748,244
CMH,DFW,1511,412
CRW,IAH,283,142
DEN,TPA,1588,698
JFK,SAN,1710,586
XNA,EWR,228,123
SFO,MFR,1296,507
EWR,OMA,579,200
BWI,ALB,1704,785
DAL,SAN,719,315
MDW,BHM,631,234
MDW,OMA,1693,751
MKE,LGA,1210,409
SLC,BIL,1061,300
GSO,EWR,862,283
IAD,RSW,88,31
DEN,DCA,1319,505
DFW,AEX,987,401
SFO,RNO,1606,645
ORD,LAN,876,308
MSY,LAX,1850,573
RSW,STL,546,177
DFW,TXK,976,352
DFW,GPT,933,421
IAD,BNA,31,21
MHT,ORD,488,175
BOS,SAN,964,311
IAD,SMF,239,113
DAL,DEN,1502,534
LAS,LBB,334,201
PHX,ELP,1450,682
TPA,PHX,997,339
TPA,STL,730,235
MSY,BOS,334,139
LGB,SFO,998,457
IAD,MCI,6,5
IAD,GRR,4,3
JFK,BNA,334,112
JLN,DFW,666,260
DFW,SPS,1233,412
ORD,DCA,5924,2209
SLC,RKS,30,4
AEX,IAH,926,253
RIC,EWR,1015,365
CID,DEN,812,294
BWI,DAL,1090,427
DCA,MKE,974,232
GEG,BOI,576,175
MCO,MEM,383,138
SAT,SAN,628,197
BOS,PDX,491,164
SLC,SAT,556,182
SLC,MCO,1239,437
DFW,BRO,1061,374
DFW,CLL,1604,516
MDT,ORD,1592,462
SLC,TUL,288,97
SLC,SGU,1192,593
BRO,IAH,1303,328
IAD,CMH,36,18
IAD,TUL,5,4
OGG,ORD,114,62
FLL,PHX,675,183
BOI,GEG,590,197
PIT,HOU,332,103
TPA,IND,911,340
BHM,DFW,614,248
ORD,SGF,1997,777
PHL,AUS,268,98
RSW,CLT,1726,582
MCO,BWI,3120,1140
MDW,EWR,1804,744
SAT,STL,611,199
TPA,BNA,1215,419
PHL,STL,610,206
BOS,SJC,207,91
ORD,EVV,1736,493
IAD,BDL,171,65
IAD,OKC,5,4
FLL,CLT,2435,701
DCA,AUS,334,112
DEN,DAY,488,245
LAX,MCI,1000,453
MCO,RDU,978,336
MCO,STL,1529,537
MDW,DTW,2815,1036
BWI,SEA,695,251
IAD,DTW,697,224
IAD,LGA,205,81
MGM,DFW,969,339
ORD,PIA,2177,686
LIT,ATL,1976,460
MAF,DEN,1088,308
FLL,DAL,860,197
LGA,MKE,1214,411
MCO,HOU,1421,374
ABQ,DEN,1593,570
TPA,MKE,621,229
PBI,DFW,848,231
SRQ,LGA,433,235
DEN,CVG,970,567
IAD,FLL,84,47
DFW,LRD,1281,495
DFW,CMI,332,123
DFW,FSM,1298,555
DCA,IAH,2039,705
IAD,PDX,242,93
LGA,BNA,2391,908
DAY,DFW,933,265
JFK,EGE,110,47
PIT,ATL,3251,753
SLC,MSY,305,104
SBN,ORD,1144,485
SAF,DFW,974,352
MLI,DFW,940,347
SAV,DFW,727,318
CHO,ORD,869,315
ORD,COS,935,547
BIS,DEN,1284,413
DEN,SDF,595,260
FNT,BWI,538,136
HNL,ATL,333,122
IAH,DAL,481,190
IAH,BOI,331,157
BOS,RSW,1634,637
ICT,DEN,889,340
ATL,EWR,5091,1606
IAH,OKC,990,389
STT,CLT,363,120
AUS,ATL,3163,1038
LAS,BUF,545,185
DFW,JAC,370,131
DFW,ONT,1441,519
IAH,SEA,2216,876
IAD,ORF,81,31
LGA,GSO,1295,531
RHI,IMT,287,62
JAC,DEN,1084,343
IAD,SEA,1071,320
DSM,IAH,511,225
LGB,SMF,661,235
PHL,IND,421,136
DAL,MCI,2167,1166
DEN,JAX,339,166
DEN,RDU,903,409
MDW,TUL,334,141
MKE,DCA,973,245
STL,OMA,919,293
TPA,MSY,972,303
HOU,LAS,1424,395
HNL,DFW,697,220
LGA,MCO,3913,1532
JFK,SAT,263,76
IAH,SAN,2033,824
PHL,SAT,231,79
PHX,BOI,1089,413
DEN,BDL,346,149
RDU,HOU,509,172
SNA,SJC,2705,984
TPA,RDU,870,263
PNS,MIA,496,202
AMA,DEN,563,216
PHL,RSW,960,390
BWI,FLL,3972,1671
MCO,ORF,432,173
MSY,HOU,3052,890
RIC,DFW,806,264
ATL,CHS,3197,861
PHX,BFL,875,357
CVG,MIA,609,246
CLT,LAS,1553,614
PHL,SEA,990,332
BNA,MCO,1426,567
DCA,IND,718,197
HOU,ATL,4071,1530
IAD,LAS,1177,446
MCO,GRR,306,103
MSY,DAL,2408,735
ABQ,BWI,511,190
ONT,SJC,1329,506
TTN,IND,2,2
GSP,DFW,484,172
HSV,IAH,895,279
PHL,LAS,2148,805
CLT,ROC,310,109
BHM,BWI,590,250
BNA,MDW,2084,761
BWI,LIT,319,135
BWI,RDU,1952,889
GEG,OAK,644,213
SAN,TUS,921,441
MSY,JFK,1115,364
CHA,DFW,640,235
TUL,DEN,1461,469
DSM,MDW,643,182
CLT,SAN,717,258
BNA,LAX,1637,576
SAN,PDX,1692,472
ATL,SEA,2673,763
PBI,HPN,1042,471
ORD,CID,2843,1010
TXK,DFW,978,327
ICT,LAX,58,20
PHL,RDU,854,337
AUS,PHX,1580,527
BHM,MCO,660,245
BWI,DTW,2418,873
IND,MCO,1289,374
SNA,SMF,2132,807
STL,TTN,3,2
DFW,TYR,1611,681
SPS,DFW,1234,412
EWR,PDX,324,158
FLL,TPA,1929,625
MCI,BNA,1100,378
MKE,MCI,610,158
AEX,DFW,987,379
SFO,ONT,2174,765
CLT,PDX,254,114
ELP,SAT,789,309
IND,MCI,615,195
LGA,MDW,2219,783
MCI,HOU,601,188
MDW,OKC,338,100
SAT,MDW,689,264
STL,SEA,483,171
SFO,RDD,727,283
RKS,GCC,27,3
IND,IAH,906,364
RSW,IAH,621,114
BWI,AUS,630,239
BWI,BNA,1897,790
DAL,OKC,941,465
DEN,PHL,2131,758
PHX,TUL,590,316
HOU,LAX,1540,637
PHX,BNA,731,375
SEA,LIH,562,136
MIA,MEM,150,46
RSW,LBE,66,26
LAX,OKC,315,137
LNK,ORD,1164,417
MSN,EWR,327,108
GRR,EWR,488,150
BOS,STL,670,271
BUF,JFK,2461,692
LEX,ORD,2015,521
IAH,ASE,413,158
IAH,PDX,769,289
IAH,SMF,647,237
ICT,IAH,1102,412
FLL,DCA,2468,884
ELP,HOU,923,360
PHX,MKE,1409,551
SAN,RNO,662,270
MIA,STT,935,494
IAH,COS,914,409
EWR,TYS,298,136
FLL,MDW,1154,298
SAN,SEA,3192,978
ONT,SEA,900,185
HPN,MCO,1245,472
AUS,BOS,402,225
DEN,CPR,954,352
SLC,LGB,1952,670
ORD,BOS,6558,2469
DEN,BUR,1255,533
HOU,DEN,1773,545
MEM,HOU,624,205
SEA,SNA,2762,926
FLL,PIT,768,266
FSM,DFW,1299,430
GPT,DFW,934,307
DEN,MFR,522,258
EWR,SAT,257,91
DEN,RDM,480,221
ASE,SFO,201,85
DEN,BFL,608,309
AUS,SJC,604,166
MCO,RIC,685,332
PBI,BWI,968,411
DFW,BDL,640,237
MIA,MCO,3033,1488
JAX,FLL,726,272
DFW,COU,660,231
DCA,FLL,2468,855
ATL,GRK,597,243
OAK,DFW,335,143
BFL,PHX,875,314
CHS,BNA,349,135
DAL,LAS,1431,522
GSP,MDW,629,202
LAS,TUL,334,155
ROC,MDW,504,158
PDX,SAN,1691,551
IAH,DCA,2037,741
IAH,RSW,614,281
BRO,DFW,1059,315
IAH,PNS,1419,590
IAH,GSP,501,219
ORD,ERI,638,252
CVG,ORD,4115,1533
DFW,SPI,589,224
JFK,CMH,569,194
IAH,LGA,2340,949
BHM,HOU,609,171
FLL,HOU,680,137
MCO,MKE,1255,479
EWR,BOS,4442,1538
ATL,GRB,405,175
IAH,PBI,378,213
EWR,CVG,1515,501
MCI,MDW,2465,773
STL,LAS,1429,433
TPA,MIA,1998,768
JFK,PDX,854,376
EWR,SBN,327,122
BNA,ORD,3494,1276
LAX,GEG,158,68
IAH,MKE,863,383
DEN,COD,315,132
IAH,JAN,1943,682
EWR,SAN,983,294
BOS,MCI,606,190
