origin,destination,count,delay
EWR,SEA,1491,437
PDX,SEA,1849,686
BUR,SEA,1011,312
SLC,LAX,5549,2357
SAN,OGG,381,122
BOS,JAX,690,239
ORF,ATL,2673,551
RDU,BOS,1526,527
JFK,MCO,5349,1918
LFT,IAH,2173,752
SHV,ATL,2032,746
PVD,ORD,542,215
DEN,MCO,2901,1193
DFW,DSM,857,330
ATL,FLL,7419,2711
IAH,LAS,2769,1034
FLL,MCO,667,290
SAN,SLC,2266,570
SEA,PDX,1851,741
SBA,SFO,2097,732
BOI,ORD,546,255
BTR,IAH,2321,748
BTV,ORD,537,202
FLL,BWI,3961,1197
SFO,BOI,1403,637
MCO,LAS,941,293
OAK,HOU,632,264
SAT,ELP,804,267
RDU,CLT,2128,817
MKE,PHX,1413,434
BWI,PHX,1603,620
ORF,DFW,631,194
IND,DFW,1593,442
FSD,DFW,357,163
LIH,HNL,5855,2080
SHV,IAH,1473,505
MCO,BOS,2848,1192
GUM,HNL,334,136
ONT,MDW,325,105
DCA,DEN,1321,549
TPA,DTW,2134,671
ASE,ORD,621,261
HNL,OGG,8282,3277
MSY,CLT,1471,533
BOI,DEN,1922,710
MIA,SFO,1022,416
AUS,LAX,2597,912
RNO,DFW,748,276
CLT,ATL,6307,2149
PHX,JFK,2327,921
CLE,LGA,2682,937
MHK,ORD,649,198
TUS,LAX,2633,1144
MRY,LAX,1529,623
ASE,LAX,774,331
DTW,IAH,2010,799
ORD,MKE,4824,1883
SFO,LAS,7995,2978
DFW,PHL,3625,1351
IAD,MIA,809,381
SEA,SFO,6845,2630
OAK,OGG,668,233
IAH,MCO,2610,1262
ORF,ORD,831,371
LAX,CLD,640,203
JNU,KTN,334,79
EWR,IAH,3340,1389
PHX,IAD,335,31
DTW,PHX,2715,926
ABQ,DFW,1797,617
PSP,DFW,724,231
BNA,DFW,2750,805
SEA,LAS,5009,2078
SEA,PHX,5768,2275
FLL,MSP,612,210
RAP,DFW,522,225
BRD,MSP,587,201
TUS,DEN,1879,626
HNL,LIH,5856,2029
TPA,JFK,2550,917
LGA,IAH,2298,727
ATL,SFO,3126,917
BNA,SLC,346,95
CLT,PHX,2842,1215
STL,PHX,2128,727
SFO,LAX,13744,6431
DFW,MCI,2560,941
DFW,LAS,4289,1583
MSP,PIT,481,157
HPN,ORD,1799,597
LBB,IAH,1067,357
ORD,ATL,6391,2452
SGF,ORD,2034,796
COU,ORD,648,232
FLL,DTW,2624,730
RDM,LAX,240,90
HLN,SLC,870,194
SFO,SMF,1623,600
BOS,DEN,2398,1008
FLL,DEN,1216,363
LAS,LAX,9715,4974
SEA,KTN,1320,583
JNU,ANC,1033,390
SEA,DEN,5099,2114
LAX,SMF,5550,2586
OGG,HNL,8313,3765
TPA,ATL,7083,2103
DFW,SJC,1512,501
RDU,ORD,1950,720
SFO,ATL,3127,874
TTN,CVG,3,3
MEM,ORD,2231,753
OKC,ORD,1807,686
FLL,ATL,7411,1912
SLC,IAH,2000,810
LAX,SAN,4611,1817
IAD,ORD,1745,638
BOI,IAH,335,130
FLL,IAH,1849,519
ORD,DSM,3290,1282
BNA,CLT,1292,566
DAL,PHX,1463,633
PIT,LAS,598,138
DFW,IND,1594,554
TPA,ORD,2427,844
FLL,DFW,2709,837
MIA,ATL,5150,1675
EWR,DAY,754,282
ELM,ORD,606,252
SYR,ORD,1623,509
DCA,ORD,5922,2067
ASE,IAH,415,168
PBI,EWR,2571,999
CLT,IAH,3603,1446
IAH,AUS,2035,985
BUF,PHX,333,76
SEA,BUR,1011,432
SLC,SFO,2938,1181
MOB,IAH,1513,494
SJC,OGG,668,276
MSP,MCO,1588,579
DFW,LGA,4521,1811
SUN,SLC,672,139
LWS,SLC,588,97
EWR,MCO,4774,1842
AUS,LAS,1189,357
BUR,LAS,3050,1062
GSP,HOU,320,94
DFW,SFO,4555,1859
DFW,EWR,2501,1053
LIT,IAH,1784,632
TYS,ORD,2092,820
SBP,LAX,1373,629
ASE,DEN,1091,416
DEN,COS,2064,965
OKC,IAH,1055,459
CAE,ORD,596,231
VEL,SLC,206,23
DEN,BZN,867,362
DEN,IAH,4848,2251
SLC,ORD,2651,1025
LGA,CLT,3658,1320
EWR,MIA,2715,924
DEN,SNA,3353,1124
BWI,IAH,1005,389
PVD,CLT,1053,342
SAN,SFO,6942,2650
ABQ,PHX,2470,1223
HOU,HRL,1555,587
ORD,MCO,4416,1926
JFK,SFO,8437,2798
JFK,ORD,1574,641
TUL,ORD,2110,740
DFW,HDN,139,47
IAD,LAX,3606,1301
DFW,MEM,864,283
JAC,DFW,370,102
DFW,BOS,3070,1096
DFW,LAX,6634,2611
SJC,SEA,4025,1463
DFW,SEA,3547,1260
SEA,GEG,3178,1332
DFW,MSP,2574,942
MDW,ATL,4533,1378
JFK,MSP,843,257
EWR,SYR,502,144
SAF,DEN,300,100
PHX,HNL,1137,577
STL,LGA,1636,642
PIA,ORD,2180,750
SAV,IAH,446,152
FLL,ACY,817,384
MCI,SFO,580,234
SLC,PDX,2341,726
YUM,PHX,1877,627
DEN,SAN,3916,1486
IAD,SFO,3620,1121
FCA,DEN,777,242
DEN,SAT,1727,714
LAX,SAT,1539,692
BDL,CLT,1621,510
DEN,PHX,7211,3009
IAD,DEN,3100,1082
SFO,HNL,2067,1029
IAD,TPA,989,384
IAH,PHX,3275,1349
OMA,PHX,1249,411
LAX,HNL,5238,2485
SEA,MCO,439,136
DFW,LBB,718,304
SEA,PSP,840,289
AVL,ORD,715,287
DEN,TUS,1861,811
DTW,DEN,2694,912
LAX,ASE,775,394
LAX,IAH,4242,1965
HDN,DEN,95,47
FAT,LAX,1693,907
IAD,SAN,1138,295
SNA,IAH,1463,455
SYR,CLT,594,171
BWI,STL,1218,430
ELP,DAL,1274,511
PDX,DFW,1834,641
BOS,BWI,4431,1533
JAX,MSP,182,70
ITO,OGG,668,170
LAS,DTW,2931,1007
BWI,LAS,1716,656
ABQ,SFO,334,130
ATL,RSW,3921,1246
MCO,DEN,2882,985
ORD,LAX,7941,3515
EWR,MEM,1020,340
BWI,DEN,1904,719
PHX,PHL,2449,965
DTW,CLT,3086,943
RNO,SAN,669,241
SLC,MDW,777,243
DFW,ATL,7060,2430
LGA,DFW,4520,1422
TUS,DFW,2198,538
DFW,AUS,4672,1717
LAX,OGG,2708,1025
CRW,ORD,577,210
DFW,HSV,280,102
DFW,SLC,2982,1043
HNL,LAX,5244,1552
SAT,IAH,2303,758
SFO,FLL,1245,631
AUS,DAL,3904,1507
ABQ,SAN,615,204
PHX,SJC,3102,1200
DFW,STL,2538,801
BDL,MCO,1667,518
IAD,GSO,63,25
DSM,ORD,3054,1036
LAX,AUS,2614,1065
GJT,PHX,993,331
ATL,ORD,6493,2542
PHX,YUM,1878,677
ATL,LAX,5669,2010
IAD,PIT,228,107
LAX,DEN,5750,2405
BNA,IAH,1304,461
RSW,DCA,815,313
ATL,MDW,4544,1386
BWI,ABQ,511,179
