origin,destination,count,1,2,3,4,5,6,7,8,9,10,11,12
DEN,GEG,1339,0,1,10,0,10,0,10,10,10,10,1,1
SLC,BTM,667,1,1,0,1,10,10,10,1,10,10,1,1
DCA,MDW,2906,0,1,1,0,1,1,0,0,2,10,1,1
DEN,EUG,630,0,10,10,10,10,0,10,0,0,10,1,1
DEN,RKS,632,0,0,10,0,1,1,10,1,0,10,1,10
LAS,DFW,4289,0,1,1,0,1,0,0,0,10,10,0,1
EUG,DEN,631,0,0,10,10,0,0,10,0,0,10,1,1
OKC,EWR,159,2,10,10,10,10,10,2,1,1,10,1,1
MDW,BWI,1977,0,1,1,0,0,1,0,1,2,10,1,1
LGA,IAD,205,2,2,1,10,10,10,10,10,10,10,10,10
COD,DEN,316,0,1,10,1,0,10,10,10,10,10,10,10
GEG,SEA,3178,1,10,0,10,0,0,0,10,0,10,1,0
MOT,DEN,1020,1,1,1,10,10,1,0,0,2,10,1,1
MCI,DTW,1421,0,0,1,10,10,0,10,10,10,10,10,10
HLN,DEN,335,0,10,10,10,0,1,10,10,0,10,10,10
BTM,SLC,667,1,1,1,1,10,10,10,1,10,10,1,1
FSD,DEN,1333,0,1,0,0,0,1,2,10,10,10,1,1
PLN,DTW,752,0,0,1,10,0,10,0,0,0,10,1,1
AMA,DAL,1216,0,1,1,10,0,1,1,10,10,10,1,1
MCI,MSP,1904,0,10,10,10,10,0,10,0,10,10,10,0
ATL,IAH,3806,1,1,10,10,0,0,0,0,2,10,1,1
RDM,DEN,480,1,0,10,10,10,10,2,0,10,10,10,1
MCI,ATL,3490,1,1,10,0,10,0,10,0,10,10,10,1
HPN,ORD,1799,2,1,1,1,2,1,2,1,2,10,2,1
BUR,SJC,2120,0,1,0,0,0,0,0,0,0,10,0,0
MCO,OMA,133,0,10,10,10,10,1,0,10,10,10,10,10
MLI,ORD,1615,2,1,1,1,1,2,2,1,1,10,2,1
BNA,SLC,346,0,1,10,10,10,10,10,10,10,10,10,10
ORD,AUS,2239,0,1,0,0,0,0,0,0,0,10,2,1
ORD,ATL,6391,0,1,0,1,1,1,1,1,0,10,1,1
ORD,MSN,3185,2,1,1,1,0,2,0,1,1,10,1,1
CLE,PHX,726,0,10,10,10,10,0,10,10,10,10,10,10
ORD,RIC,2141,2,1,1,2,0,2,0,2,1,10,2,1
TUS,LAX,2633,0,0,0,0,0,0,1,0,1,10,10,0
ORD,IND,3026,2,1,1,2,1,2,1,1,1,10,1,1
AZO,ORD,1326,2,1,1,0,1,2,0,1,1,10,1,1
ORD,MLI,1612,2,1,1,1,1,2,2,1,1,10,1,1
IAD,PIT,228,2,2,2,10,10,10,10,10,10,10,10,10
DAL,AMA,1216,0,1,1,10,1,1,1,10,10,10,0,1
DTW,MKE,1730,0,1,10,0,0,0,10,10,0,10,10,1
SFO,MFR,1296,1,1,10,10,0,10,0,2,1,10,10,1
ORD,FWA,2261,2,1,1,1,1,2,2,1,1,10,1,1
GSO,LGA,1295,0,0,1,0,2,1,0,0,2,10,10,0
PIA,DEN,5,2,10,10,10,10,10,10,10,10,10,10,10
ORD,ICT,2190,1,1,2,2,0,1,0,2,1,10,1,1
LGA,IAH,2298,1,1,2,1,1,0,0,0,0,10,0,1
SJC,BUR,2133,0,0,0,0,0,0,0,0,0,10,0,0
IAH,AMA,899,2,1,1,1,1,2,10,1,10,10,10,1
SLC,ORD,2651,0,1,1,1,10,0,0,1,10,10,1,1
MSN,ORD,3181,2,1,1,1,0,2,0,1,1,10,1,1
LAX,LAS,9594,0,0,0,0,0,0,1,0,0,10,0,1
ORD,HPN,1800,2,1,1,1,2,2,0,1,2,10,2,1
ORD,AZO,1326,2,1,1,0,1,2,0,1,1,10,1,1
ORD,LEX,2014,2,1,1,2,10,2,1,2,1,10,1,2
COS,DEN,2088,1,1,10,0,0,0,0,0,0,10,1,1
MKE,DTW,1730,2,1,10,0,0,0,10,10,0,10,0,1
MIA,LAX,3024,0,10,10,10,10,0,0,0,0,10,10,1
DCA,CLT,2502,1,1,1,0,0,0,2,0,10,10,0,0
ORD,DSM,3290,2,1,1,2,0,2,2,1,1,10,2,1
SAN,LAS,4095,0,0,0,0,0,1,0,0,0,10,0,0
ORD,TYS,2099,2,1,1,2,2,1,0,1,0,10,1,2
VPS,ATL,2208,1,1,1,0,1,0,10,10,10,10,0,1
MIA,BOS,2319,1,1,0,10,10,0,1,10,10,10,10,1
MTJ,DEN,461,0,1,10,10,10,1,0,0,0,10,1,0
ORD,TVC,1784,2,1,1,1,0,2,2,1,1,10,1,2
PHL,TPA,2425,1,1,1,1,0,0,10,10,0,10,10,0
CLT,FLL,2435,0,1,10,10,0,10,10,0,10,10,10,0
ORD,OMA,2036,2,1,1,2,2,1,0,0,0,10,2,1
OMA,MCO,133,0,10,10,10,10,10,0,10,10,10,10,10
DTW,ORD,4274,2,1,1,0,0,2,1,1,1,10,2,1
PIT,IAD,227,0,2,2,10,10,10,10,10,10,10,10,10
IND,ORD,3075,2,1,1,2,0,2,1,1,1,10,1,1
ORD,SFO,7378,0,1,0,1,0,0,0,0,10,10,1,1
TTN,RSW,166,0,1,10,10,10,10,10,10,10,10,10,10
DEN,GTF,774,0,1,1,10,10,0,1,0,10,10,1,1
MFR,SFO,1298,1,1,10,0,0,0,0,0,1,10,10,1
MCO,RIC,685,0,1,10,10,10,10,10,10,10,10,0,10
ROA,ATL,1496,1,1,1,10,0,1,10,1,10,10,10,1
FWA,ORD,2265,2,1,1,0,1,2,2,1,1,10,1,1
AUS,ORD,2283,0,1,0,0,0,0,0,0,0,10,2,1
ICT,ORD,2097,1,1,1,1,0,1,0,2,0,10,1,1
DEN,SGF,610,2,1,1,10,0,10,10,10,10,10,1,1
AMA,IAH,899,2,1,1,1,1,10,10,1,10,10,2,1
DEN,BIL,1106,2,1,10,10,10,10,1,10,10,10,1,1
ATL,ORD,6493,0,1,1,1,1,1,0,0,1,10,1,1
DSM,ORD,3054,2,1,1,2,0,2,2,1,1,10,2,1
RIC,ORD,2088,2,1,1,2,0,2,0,1,1,10,2,1
DEN,PHX,7211,1,1,0,1,1,1,0,0,10,10,1,1
DBQ,ORD,928,1,1,1,2,10,2,0,1,10,10,1,1
DEN,IDA,905,1,1,10,1,10,10,1,0,0,10,1,1
SFO,HNL,2067,0,0,0,0,0,0,0,0,10,10,10,0
LEX,ORD,2015,2,1,1,2,10,1,1,1,1,10,1,2
OMA,ORD,2004,2,1,1,1,2,1,0,1,0,10,1,1
OAK,LAX,6281,0,0,0,0,0,0,0,0,0,10,0,0
TVC,ORD,1784,2,1,1,1,0,2,2,1,1,10,1,2
ORD,DTW,4301,2,1,1,0,0,2,1,1,1,10,1,1
TYS,ORD,2092,2,1,1,2,10,1,0,1,1,10,0,0
HPN,ATL,1877,1,0,1,1,1,1,0,10,10,10,1,1
ORD,MCO,4416,0,1,1,1,0,0,10,0,0,10,1,1
FLL,CLT,2435,0,1,10,0,0,0,10,0,0,10,10,0
ATL,HPN,1879,1,1,1,1,1,1,0,10,10,10,1,1
ORD,CMI,1783,1,1,1,2,10,2,2,1,1,10,1,1
GTF,DEN,774,0,10,1,10,10,0,1,0,10,10,1,10
BIL,DEN,1104,2,10,1,0,10,10,1,0,10,10,1,1
TPA,CLT,2899,0,1,10,0,0,0,0,0,0,10,10,10
ORD,SLC,2600,0,1,0,1,10,1,0,1,0,10,1,1
FNT,ORD,1860,2,1,1,0,2,1,2,1,1,10,2,1
BOS,MIA,2317,1,1,0,10,10,0,1,10,10,10,10,1
DEN,CLE,1369,1,1,10,0,10,0,10,10,10,10,1,1
ORD,LGA,9575,1,1,1,1,0,1,0,0,2,10,1,1
GSO,ROA,2,0,10,10,10,10,10,10,10,10,10,10,10
MIA,SFO,1022,0,10,0,10,10,10,10,10,10,10,10,10
CMI,ORD,1784,0,1,1,2,10,2,2,1,1,10,1,1
SBP,SFO,1043,2,1,1,2,0,0,0,0,1,10,10,1
RSW,TTN,166,0,1,10,10,10,10,10,10,10,10,10,10
IAH,DEN,4513,0,0,0,0,1,0,0,1,10,10,1,1
SFO,LAS,7995,1,2,0,1,10,0,0,0,10,10,0,0
CLT,BWI,3378,0,1,1,0,0,1,0,1,10,10,10,10
SEA,LGB,793,0,10,10,10,0,0,0,10,10,10,10,10
PHX,SBP,717,2,10,10,0,10,10,1,0,0,10,10,10
JFK,RDU,1595,1,1,2,2,2,2,2,10,10,10,10,10
LAX,MIA,3023,0,10,10,10,10,0,0,0,0,10,10,10
MCO,MSN,17,0,10,10,10,10,10,10,10,10,10,10,10
GNV,ATL,2089,2,0,0,10,0,0,10,2,10,10,1,1
BHM,DEN,330,2,0,10,10,10,10,10,10,10,10,10,10
ORD,DBQ,928,1,1,1,2,10,2,0,1,10,10,1,1
DTW,GRB,656,1,1,1,10,10,10,10,10,10,10,10,10
MCO,HPN,1246,1,1,1,10,0,2,0,0,10,10,10,0
MSY,EWR,1094,1,1,1,0,0,0,0,10,10,10,10,0
ATL,ROA,1496,1,1,1,10,0,0,10,1,10,10,10,1
SBP,PHX,717,1,0,10,0,10,10,1,0,0,10,10,10
ICT,ATL,968,0,1,10,10,10,10,10,10,10,10,10,0
GRB,DTW,653,0,1,1,10,10,10,10,10,10,10,1,10
LAS,SFO,7870,1,2,0,0,10,0,0,0,0,10,0,2
ORD,SPI,997,0,1,0,1,1,1,0,1,2,10,1,1
CLT,DCA,2456,0,1,1,2,0,10,2,0,10,10,10,10
SYR,ORD,1623,0,1,1,2,0,2,2,2,1,10,1,1
ORD,BUF,2005,2,1,1,2,0,2,0,0,1,10,1,1
MCO,ORD,4427,1,1,0,1,10,0,1,0,10,10,1,1
BWI,CLT,3375,0,1,1,0,0,0,0,1,10,10,0,0
RDU,JFK,1597,1,1,2,2,2,2,2,10,10,10,10,10
IAD,OKC,5,2,10,10,10,10,10,10,10,10,10,10,10
DEN,BIS,1285,1,1,10,1,10,0,0,10,10,10,1,1
TTN,FLL,230,0,1,10,10,10,0,10,10,0,10,10,10
DEN,MKE,2037,0,1,10,10,0,2,10,0,10,10,1,1
TLH,ATL,2106,1,1,0,0,1,1,10,10,1,10,1,1
LGB,SEA,793,0,1,10,10,0,0,0,10,10,10,10,10
MSN,MCO,17,0,10,10,10,10,10,10,10,10,10,10,10
ORD,LAX,7941,0,1,1,0,0,0,0,0,0,10,0,1
LGA,ORD,9639,1,1,1,1,0,0,0,0,2,10,1,1
IAH,SHV,1470,1,1,2,1,1,1,0,2,2,10,1,1
ASE,DEN,1091,1,1,1,1,1,1,1,2,10,10,1,1
SPI,ORD,998,0,1,0,1,1,1,0,0,2,10,1,1
ATL,CAE,2685,1,1,10,10,10,1,10,10,10,10,1,1
YAK,JNU,331,1,10,0,10,10,10,10,10,10,10,10,10
ORD,CMH,3442,1,1,1,1,1,2,2,1,1,10,1,1
BOS,EWR,4463,1,1,1,0,0,0,0,0,1,10,1,1
MOB,IAH,1513,1,10,1,1,1,1,0,1,2,10,1,1
SWF,MCO,334,1,10,0,10,10,10,10,10,10,10,10,10
ATL,EWN,575,0,1,10,10,10,10,10,10,10,10,10,1
EWR,SBN,327,2,2,2,2,2,2,2,2,1,10,2,2
BOS,MCI,606,1,1,0,10,10,0,10,10,10,10,10,1
MKE,DEN,2009,2,1,10,0,0,1,10,10,10,10,1,1
SAN,PHX,5123,0,0,1,0,0,0,0,0,10,10,0,0
ATL,BQK,878,0,10,0,10,10,1,10,10,10,10,10,10
CLE,DEN,1239,1,10,0,10,10,0,10,10,10,10,10,1
ORD,STL,2566,0,1,0,2,1,2,0,1,1,10,1,1
DEN,COS,2064,1,1,10,0,1,0,1,0,10,10,1,1
BUF,ORD,2008,2,1,1,2,0,2,0,0,0,10,1,1
EWR,MCI,659,2,2,2,2,2,1,0,10,10,10,10,10
DTW,OMA,651,0,1,10,10,10,10,10,10,2,10,10,1
JNU,SEA,1232,1,1,0,10,10,10,10,10,1,10,1,1
DTW,PLN,752,0,0,1,10,0,0,0,0,0,10,1,1
BIS,DEN,1284,1,1,1,1,10,0,0,10,10,10,1,1
FLL,TTN,231,0,10,0,0,10,0,10,10,0,10,10,10
IAH,MFE,1957,1,0,1,1,1,0,0,1,0,10,1,1
EWR,STL,1806,2,2,2,10,2,2,2,2,2,10,2,2
SNA,PHX,3846,0,0,0,0,0,0,0,0,1,10,0,0
DEN,BZN,867,0,1,10,10,10,0,10,10,10,10,10,1
EWR,RSW,1380,1,1,0,10,0,0,10,10,10,10,10,0
ORD,TOL,961,2,1,1,2,10,2,2,1,1,10,1,1
JNU,SIT,755,1,0,10,10,10,1,10,10,10,10,10,1
SFO,MRY,816,1,1,1,2,2,0,1,2,2,10,1,1
HNL,DEN,334,0,10,10,0,10,0,10,10,10,10,10,10
BJI,MSP,667,0,10,1,10,10,10,1,10,10,10,10,10
MCI,EWR,633,2,2,2,2,2,2,10,10,2,10,10,10
PHX,ATL,3644,0,1,10,10,10,0,10,1,10,10,10,10
PNS,MIA,496,1,0,1,0,10,10,1,0,1,10,10,10
ESC,DTW,573,2,1,10,10,10,0,0,0,10,10,1,1
MRY,SFO,817,1,1,1,10,2,0,1,2,0,10,1,1
SBN,EWR,326,2,2,2,1,10,1,10,2,1,10,10,1
OMA,DTW,720,0,0,10,10,10,10,0,10,2,10,10,1
BZN,DEN,865,0,1,1,0,10,0,10,10,0,10,10,1
CWA,ORD,1394,2,1,1,1,10,2,1,1,1,10,2,1
STL,EWR,1864,2,2,2,2,1,1,2,2,10,10,2,1
BWI,ATL,5837,1,1,1,0,0,1,1,2,10,10,0,0
LNK,DEN,765,1,1,10,0,10,10,1,0,10,10,1,10
SUX,ORD,620,2,1,10,2,0,2,10,1,10,10,1,1
MFE,IAH,1957,1,0,1,1,1,0,0,1,2,10,1,1
RSW,EWR,1371,1,1,1,0,0,0,10,10,10,10,10,0
EWN,ATL,575,0,0,1,10,10,10,10,10,10,10,10,1
BQK,ATL,878,0,0,0,10,10,1,10,10,10,10,1,1
LSE,ORD,1153,2,1,1,0,2,2,1,1,1,10,1,1
ALO,ORD,617,0,1,1,0,0,2,10,1,0,10,1,1
FAR,ORD,2101,2,1,1,1,1,2,1,2,0,10,1,1
SHV,IAH,1473,1,1,2,1,1,1,1,2,10,10,1,1
MHK,ORD,649,2,1,1,2,1,2,2,1,1,10,1,1
RHI,MSP,667,0,10,1,10,0,10,1,10,10,10,10,1
SGF,ORD,2034,2,1,1,1,0,2,0,1,1,10,1,1
BOI,IAH,335,1,10,10,1,10,10,10,10,10,10,10,10
ORD,RST,1324,2,1,1,0,10,2,1,1,1,10,1,1
ORD,PHX,4419,0,1,1,0,1,0,10,0,10,10,1,1
PSP,DEN,985,0,0,0,0,0,10,0,10,0,10,1,1
AUS,IAH,2079,0,10,10,0,1,0,0,0,0,10,2,1
ORD,JAX,467,0,1,10,2,10,2,10,10,10,10,1,1
DTW,DSM,221,0,2,1,10,10,10,10,10,10,10,10,10
ORD,OKC,1841,2,1,1,2,1,2,2,1,1,10,1,1
DCA,LGA,4303,1,1,1,2,2,2,2,2,0,10,2,2
ORD,SGF,1997,2,1,1,2,2,2,10,1,10,10,1,1
PSP,LAX,729,0,10,10,0,10,10,0,10,10,10,10,10
ORD,FSD,2042,2,2,2,2,0,2,1,1,1,10,1,1
PDX,TUS,218,0,10,10,0,10,10,10,10,10,10,10,10
RST,ORD,1323,2,1,1,0,10,2,1,1,1,10,1,1
ORD,PSP,346,0,1,10,10,10,10,10,10,10,10,10,1
LGA,CAE,423,0,0,0,0,1,10,0,0,10,10,0,10
ORD,FAR,2100,2,1,1,1,1,2,1,2,2,10,1,1
DSM,DTW,188,0,0,1,10,0,10,10,10,10,10,10,1
ORD,BDL,1521,1,1,1,1,10,2,1,1,1,10,1,1
ORD,GRB,2767,1,1,1,2,1,2,1,2,1,10,1,1
ORD,CMX,667,1,1,1,1,1,1,1,1,1,10,1,1
LGA,DCA,4303,1,1,1,0,2,2,2,2,0,10,2,2
ORD,MHK,649,2,1,1,2,1,2,2,1,1,10,1,1
ORH,MCO,332,1,1,0,10,10,0,10,0,0,10,10,0
OKC,ORD,1807,2,1,1,1,1,2,0,1,1,10,1,1
FSD,ORD,2023,1,1,1,1,0,1,1,1,2,10,1,2
GRB,ORD,2767,1,1,1,2,2,2,1,2,1,10,2,1
PHX,ORD,4416,0,1,0,0,1,0,10,0,10,10,1,1
JAX,ORD,589,0,1,10,2,1,2,10,10,10,10,1,1
OMA,EWR,619,2,2,2,2,10,2,2,2,2,10,2,2
SDF,EWR,737,2,2,2,2,1,2,2,1,10,10,2,2
IAD,BDL,171,2,2,10,10,10,0,10,10,10,10,10,10
ORD,LSE,1153,2,1,1,2,2,2,1,1,1,10,1,1
EWR,MSY,1095,1,1,1,2,1,10,10,10,10,10,2,0
ORD,DCA,5924,0,1,1,0,0,0,0,0,0,10,1,1
PSP,ORD,344,0,1,10,10,10,10,10,10,10,10,10,1
IAH,SFO,3439,1,0,0,2,0,0,0,0,10,10,1,1
CMH,EWR,906,2,2,2,2,10,2,10,2,2,10,2,1
SFO,SEA,6932,0,0,0,0,0,0,0,0,0,10,1,2
ORD,BNA,3577,0,1,1,0,1,2,1,1,1,10,1,1
MCO,DEN,2882,0,1,0,0,0,0,1,10,10,10,0,1
MSP,RST,405,0,0,0,10,10,0,2,10,10,10,10,1
ORD,CLE,3937,1,1,1,1,0,1,0,1,1,10,2,1
SAV,EWR,660,2,2,2,10,1,2,2,1,2,10,2,2
ORD,ALO,618,0,1,1,2,10,2,10,1,1,10,1,1
DFW,DAY,933,0,1,1,10,1,0,10,10,10,10,10,1
BDL,ORD,1490,1,1,1,1,0,2,0,1,1,10,1,1
HPN,MCO,1245,1,1,1,10,0,2,0,0,0,10,0,2
TUS,PDX,218,0,10,10,0,10,10,10,10,10,10,10,10
DTW,BDL,1357,1,1,2,10,10,10,10,10,10,10,10,10
ORD,CHO,869,1,1,0,1,0,0,1,0,10,10,1,1
BDL,IAD,172,2,2,10,10,10,0,10,10,10,10,10,10
IAH,MCI,1628,0,10,10,1,1,1,2,0,10,10,10,10
ORD,SUX,620,2,1,10,2,0,2,10,1,10,10,1,1
EWR,MSP,1314,2,2,2,2,2,0,2,2,10,10,10,1
ORD,XNA,2597,0,1,1,1,0,2,0,1,1,10,1,1
LGA,XNA,514,1,2,1,10,2,2,2,0,10,10,0,10
RST,ATL,316,0,0,0,10,10,1,10,10,10,10,10,1
LGA,RDU,1957,1,1,1,0,2,2,2,0,0,10,10,0
BNA,ORD,3494,0,1,1,2,1,2,2,1,1,10,1,1
LGA,GSO,1295,1,0,1,0,2,0,0,2,2,10,10,0
EWR,GSP,687,2,2,2,2,2,1,2,10,10,10,2,1
ROC,EWR,725,2,2,2,2,2,1,2,2,1,10,2,1
ORD,ROC,1656,0,1,1,1,10,2,0,1,1,10,1,1
ORD,FNT,1859,2,1,1,1,1,1,2,1,1,10,2,1
BNA,EWR,1853,2,1,2,2,0,2,2,2,2,10,2,2
ORF,EWR,627,2,2,2,10,10,2,2,10,2,10,2,2
MSP,TTN,157,0,10,10,10,10,1,0,10,0,10,10,10
DTW,CVG,392,0,10,10,10,10,10,10,10,10,10,10,1
LAX,TUS,2635,0,1,0,0,0,10,1,0,2,10,10,0
STL,ORD,2785,2,1,1,2,0,2,0,1,0,10,1,1
EWR,SDF,631,2,2,2,2,1,2,2,1,10,10,2,2
ORD,GRR,2990,0,1,1,2,0,2,2,1,1,10,2,1
ORD,BMI,959,2,1,1,1,1,1,1,1,1,10,1,1
CLE,ORD,4127,2,1,1,0,1,2,0,1,1,10,1,1
LAX,SAN,4611,0,0,1,0,0,0,2,0,0,10,2,1
DCA,ORD,5922,0,1,1,0,0,0,0,0,0,10,1,1
EWR,IND,1224,2,2,2,1,2,2,2,2,2,10,2,2
EWR,MKE,1090,2,2,2,1,1,2,2,1,10,10,2,1
LAX,PSP,724,0,10,10,0,10,10,2,10,10,10,10,1
FAT,PHX,471,0,10,10,10,10,0,10,1,10,10,10,10
MSP,EWR,1368,2,2,2,1,2,1,2,2,0,10,0,1
JFK,BWI,333,1,1,2,2,2,2,2,2,2,10,1,0
DAY,LGA,403,1,1,1,2,2,2,2,2,2,10,10,10
CAE,LGA,423,0,0,0,0,1,10,0,0,10,10,10,10
EWR,SAV,662,2,2,2,10,2,1,2,1,2,10,2,2
ORD,LAN,876,2,2,1,1,2,1,1,1,1,10,2,1
GSO,EWR,862,2,2,2,10,2,2,2,1,2,10,2,2
CRW,ATL,1314,1,1,0,0,1,0,10,0,10,10,1,1
EWR,CVG,1515,2,2,2,2,1,1,2,10,2,10,2,2
BDL,DTW,1364,1,1,1,10,10,10,10,10,0,10,10,10
PHL,DFW,3625,1,1,1,0,1,0,10,2,0,10,0,1
JFK,BNA,334,1,1,2,2,2,2,10,2,2,10,0,2
ORD,MKG,667,1,1,1,0,1,1,1,1,1,10,1,1
EWR,DAY,754,2,2,2,2,1,2,0,2,2,10,2,2
XNA,ORD,2598,0,1,0,1,1,2,0,2,0,10,1,1
IAD,CAE,193,0,2,2,10,10,10,10,10,10,10,10,10
MCI,DEN,2124,0,1,10,1,0,1,1,10,10,10,1,1
MEM,EWR,1002,2,2,2,2,2,2,2,1,2,10,2,2
CLE,EWR,1544,1,1,2,0,1,2,0,0,10,10,2,1
RDU,LGA,1878,1,1,1,0,2,2,2,2,2,10,0,0
ORD,MBS,1190,2,1,1,1,0,1,1,1,1,10,1,1
EWR,BNA,1948,2,2,2,2,2,2,2,2,2,10,2,1
BMI,ORD,958,2,1,1,1,1,1,2,1,1,10,1,1
ORD,DAY,2643,2,1,1,2,2,1,2,1,1,10,1,1
DAY,DFW,933,0,1,1,10,1,0,10,10,10,10,0,1
CHO,ORD,869,0,1,0,1,0,0,1,0,0,10,1,1
SAN,LAX,4619,0,0,1,0,0,0,2,0,10,10,2,0
MSP,IAD,591,2,0,0,0,10,0,10,10,10,10,10,10
LAX,OGG,2708,0,0,0,0,0,10,10,0,10,10,10,0
GSP,EWR,694,2,2,2,2,2,1,2,10,10,10,2,2
MSP,FAR,1718,0,10,10,0,10,0,10,10,10,10,10,0
CVG,DTW,445,0,1,10,10,10,0,10,10,10,10,10,1
EWR,RDU,913,2,2,2,2,10,2,2,1,1,10,2,2
XNA,LGA,513,1,2,1,10,2,2,2,2,0,10,0,10
SEA,PHX,5768,2,1,10,0,0,0,0,10,0,10,1,0
CHS,EWR,1274,2,2,2,2,2,1,2,2,2,10,2,2
EWR,BUF,533,2,2,10,2,10,2,2,2,2,10,2,2
BWI,ORD,2466,1,1,1,2,0,0,2,0,1,10,1,1
MKE,EWR,1082,2,2,2,2,2,2,2,2,0,10,2,1
ORH,FLL,331,1,1,10,10,10,10,0,0,10,10,10,2
GRR,ORD,2820,0,1,1,2,1,2,2,1,1,10,2,1
EWR,DFW,2604,1,1,1,0,1,0,0,2,2,10,1,1
BWI,LAX,1115,0,1,10,10,10,0,1,0,10,10,1,0
ORD,CAE,595,2,2,2,2,10,1,1,10,1,10,10,2
ATL,GRK,597,0,0,1,1,10,0,10,10,10,10,10,1
IND,EWR,1287,2,2,2,2,2,2,2,2,2,10,2,2
SFO,SNA,4314,0,1,0,0,0,2,0,0,1,10,2,1
LGA,STL,1636,1,1,1,1,2,2,0,10,2,10,2,2
LAN,ORD,877,1,2,1,1,2,1,1,2,1,10,2,1
CAE,IAD,194,2,2,2,10,10,10,10,10,10,10,10,10
FAR,MSP,1715,0,10,10,0,0,0,10,0,10,10,10,0
MKG,ORD,667,1,1,1,0,1,1,1,1,1,10,1,1
ORD,MDT,1594,1,1,1,0,2,2,0,1,1,10,1,2
DCA,JFK,996,1,1,1,0,0,0,10,2,0,10,10,10
EWR,CLT,4145,1,1,2,2,0,2,2,2,2,10,0,0
CVG,EWR,1479,2,2,2,2,1,1,2,1,2,10,2,2
TYS,IAD,22,2,10,10,10,10,10,10,10,10,10,10,10
ORD,SCE,664,1,2,1,1,10,1,1,10,2,10,1,1
DAY,EWR,761,2,2,2,2,2,2,2,1,2,10,2,2
DTW,EVV,777,1,0,0,10,0,1,10,10,2,10,1,10
ORD,CWA,1394,2,2,1,1,2,2,1,2,1,10,2,1
ORD,SAV,864,2,2,2,10,10,1,2,10,2,10,2,2
MSY,FLL,932,0,10,10,10,1,0,10,0,10,10,10,0
DAY,ORD,2693,2,1,1,2,2,2,2,1,1,10,1,1
MBS,ORD,1192,0,1,1,1,1,1,1,1,1,10,1,1
EWR,CMH,912,2,2,2,2,1,1,10,2,2,10,2,1
DFW,FSD,356,0,1,0,1,10,10,10,10,10,10,10,10
ATL,ELM,15,0,10,10,10,10,10,10,10,10,10,10,10
RDU,EWR,860,2,2,2,2,10,0,2,1,1,10,2,2
PDX,ONT,723,0,10,10,0,10,10,10,10,10,10,10,0
ORD,HSV,628,2,1,1,2,1,2,10,1,1,10,1,10
EWR,CLE,1593,1,1,1,0,1,0,0,1,10,10,1,2
SFO,EUG,1864,1,1,10,0,0,0,0,0,0,10,0,1
ATL,MLU,1210,0,1,1,10,10,10,1,10,10,10,10,1
EWR,OMA,579,2,2,2,2,10,1,10,2,2,10,2,2
EWR,MEM,1020,2,2,2,2,1,2,2,1,10,10,2,2
PHX,FAT,471,0,10,10,10,10,10,10,1,10,10,10,10
LGA,MHT,140,0,0,0,10,10,10,10,10,10,10,10,10
LGA,DAY,403,1,1,1,2,2,2,2,2,0,10,10,10
ORD,IAD,1940,1,1,1,0,10,0,0,0,0,10,10,0
MIA,DEN,1349,0,0,1,1,10,10,10,10,0,10,1,0
CVG,LAS,645,0,10,10,10,10,10,10,10,10,10,10,10
DTW,TVC,757,0,10,0,10,10,10,10,10,10,10,10,10
ORD,EWR,3874,1,1,1,1,1,0,0,2,0,10,1,1
EWR,CHS,1275,2,2,2,2,2,2,2,1,1,10,2,1
JFK,DCA,1002,1,1,1,0,2,0,10,0,0,10,10,10
IAD,TYS,22,2,10,10,10,10,10,10,10,10,10,10,10
IAD,ATL,2636,0,1,1,0,1,10,0,2,10,10,10,10
IAD,BNA,31,2,10,10,10,10,10,10,10,10,10,10,10
ORD,ELP,578,0,1,10,10,10,2,10,1,1,10,1,1
MSP,RAP,1326,0,10,10,0,1,10,10,10,10,10,10,10
DEN,TUS,1861,1,1,1,10,1,10,0,10,10,10,1,1
SFO,RDD,727,0,1,2,10,10,0,1,10,1,10,10,1
SFO,SBA,2098,0,1,10,1,2,0,1,1,0,10,1,1
OGG,LAX,2711,0,0,0,0,0,0,0,0,10,10,0,0
LAS,CVG,644,0,10,10,10,10,0,10,10,10,10,10,10
SAV,ORD,874,1,2,2,10,2,1,2,2,10,10,2,2
MHT,LGA,136,0,0,0,10,10,10,10,10,10,10,10,10
TTN,ATL,325,0,1,10,10,10,10,0,10,10,10,10,10
ONT,PDX,723,0,10,10,0,10,10,10,10,10,10,10,0
DFW,SLC,2982,0,1,1,0,1,2,10,0,10,10,10,1
EUG,SFO,1863,1,1,10,0,0,0,0,0,0,10,0,1
BNA,LGA,2472,1,1,1,0,2,2,0,0,0,10,10,1
GEG,DEN,1343,0,1,10,10,10,1,10,10,10,10,1,1
FAT,SFO,1191,1,1,10,1,0,10,0,0,10,10,0,1
STL,LGA,1636,1,1,1,1,0,2,0,10,2,10,2,10
EVV,DTW,779,1,0,0,0,0,1,10,10,2,10,10,10
SNA,SFO,4313,0,1,0,0,0,0,0,0,1,10,2,1
HSV,ORD,592,2,1,0,1,0,2,10,1,1,10,1,10
MDT,ORD,1592,1,1,1,0,2,2,0,0,1,10,1,1
ACV,SFO,1320,0,1,1,1,0,1,1,1,1,10,1,1
FSD,DFW,357,0,1,0,1,10,10,10,10,10,10,10,10
CAE,ORD,596,2,2,1,2,10,1,1,10,1,10,2,2
MCO,EWR,4790,1,1,1,0,0,0,0,0,10,10,0,0
