origin,destination,count,1,2,3,4,5,6,7,8,9,10,11,12
DFW,ATL,7060,1,1,1,0,1,0,0,0,10,10,1,1
DFW,LIT,1322,0,1,1,1,1,0,10,0,10,10,1,1
AUS,DFW,4674,0,1,1,1,1,1,10,0,0,10,1,1
DFW,ORD,7870,1,1,1,1,1,1,0,0,2,10,1,1
DFW,TUL,2627,1,1,1,0,1,1,10,0,10,10,1,1
DFW,GRK,2625,1,1,1,1,0,0,0,0,10,10,0,0
DFW,PNS,1155,1,1,1,1,10,1,10,0,10,10,10,0
BTR,DFW,2333,0,1,1,0,0,0,10,0,10,10,0,0
ICT,DFW,805,1,1,1,1,1,0,0,0,10,10,0,0
DFW,OKC,2710,0,1,1,1,1,0,0,0,10,10,1,1
DFW,SNA,2877,1,1,1,0,1,0,10,0,0,10,1,1
DFW,XNA,2222,1,1,1,1,1,0,0,0,10,10,1,1
DFW,MKE,1011,0,1,1,10,1,10,10,10,10,10,1,1
DFW,GSO,515,0,1,1,10,0,10,10,10,10,10,10,10
DFW,VPS,1760,1,1,1,0,0,0,10,0,10,10,0,0
DFW,LAW,1330,0,1,1,1,1,1,1,0,10,10,0,0
FLG,PHX,1660,2,1,1,0,0,0,0,0,0,10,1,1
STL,BWI,1193,0,1,1,0,0,1,10,0,2,10,10,0
SAT,DFW,4715,1,1,1,1,1,0,0,0,0,10,1,1
DFW,SAT,4714,0,1,1,1,1,0,0,0,0,10,1,1
DFW,PHX,4144,0,1,1,1,1,1,0,0,10,10,0,1
JMS,DEN,286,2,2,1,0,1,10,10,10,1,10,1,1
DFW,CAE,965,1,1,0,0,0,0,10,10,0,10,10,0
DFW,GPT,933,0,1,1,1,1,0,10,0,10,10,0,0
DFW,TPA,2500,0,1,1,10,1,0,0,10,10,10,10,1
MSP,DFW,2575,0,1,0,0,1,0,0,1,0,10,1,1
DFW,MLI,940,0,1,1,1,1,1,0,0,10,10,10,1
DFW,SAV,727,1,1,1,0,0,1,10,0,10,10,10,10
DFW,AMA,1202,0,1,1,1,0,1,10,10,10,10,10,1
DFW,CMH,1511,0,1,1,10,1,1,10,0,10,10,10,1
DFW,JAN,2280,1,1,1,0,0,0,0,0,10,10,1,0
DFW,MSN,939,0,1,1,1,1,1,10,10,10,10,10,1
DFW,LFT,1616,1,1,1,0,1,1,1,0,10,10,1,0
DFW,GRR,770,1,1,1,1,1,10,10,0,10,10,10,1
DFW,CLL,1604,1,1,1,1,1,1,10,10,10,10,1,1
DFW,LEX,776,1,1,1,1,1,0,10,10,0,10,10,10
DFW,BHM,612,1,1,1,1,10,10,10,10,10,10,10,1
LAX,HNL,5238,0,0,0,0,0,0,0,0,0,10,10,0
ROC,ORD,1679,0,1,1,1,0,2,0,1,1,10,1,1
TPA,MIA,1998,0,1,0,10,10,1,0,1,10,10,10,10
IAH,MAF,2064,2,1,1,1,1,1,0,2,10,10,1,1
OMA,DFW,1363,0,1,1,10,1,0,10,0,10,10,10,1
DFW,SPS,1233,1,1,1,0,0,1,0,0,10,10,10,1
DFW,FWA,649,0,1,1,10,10,10,10,10,10,10,1,1
SHV,DFW,2280,1,0,0,0,0,0,0,10,10,10,0,0
DFW,SGF,2222,1,1,1,1,1,1,0,10,10,10,1,1
DFW,CID,1027,1,1,1,1,1,1,0,10,10,10,10,10
STL,DFW,2536,0,1,1,1,1,0,1,10,10,10,1,1
DFW,SAN,3297,0,1,1,1,1,2,0,0,0,10,1,1
TOL,ORD,962,0,1,1,2,10,2,2,1,1,10,1,1
DFW,FSM,1298,1,1,1,0,0,0,10,0,10,10,0,0
DFW,MGM,969,1,1,1,1,1,0,10,10,10,10,1,1
DFW,SJT,1628,0,1,1,1,1,1,0,0,10,10,1,1
DFW,LRD,1281,1,1,1,1,1,1,10,0,10,10,1,0
DFW,PHL,3625,1,1,1,0,1,1,0,0,0,10,0,0
CRP,DFW,1497,0,1,0,0,0,0,10,10,10,10,1,1
OKC,DFW,2711,0,1,1,0,1,0,0,0,10,10,1,1
DFW,AEX,987,1,1,1,1,1,1,0,10,0,10,1,1
LAW,DFW,1331,0,1,1,1,1,1,0,0,10,10,0,0
DFW,MFE,1450,1,1,1,1,1,10,0,10,0,10,1,1
DFW,LAS,4289,0,1,1,10,1,1,10,10,10,10,0,1
DFW,PIA,929,0,1,1,1,1,1,10,10,10,10,10,0
DSM,DFW,859,0,1,1,10,1,1,10,10,10,10,1,10
LBB,AUS,320,1,1,10,10,10,10,0,10,10,10,1,1
DFW,ACT,1611,0,1,1,1,0,0,0,0,10,10,0,0
DFW,DSM,857,0,1,1,10,1,1,10,10,10,10,1,10
LIT,DFW,1323,0,1,1,0,1,0,10,0,10,10,1,1
DFW,RSW,1166,1,1,1,10,1,0,1,0,10,10,1,1
DFW,AUS,4672,0,1,1,1,1,1,10,0,0,10,1,1
DFW,MLU,958,0,0,0,0,0,0,10,10,10,10,0,0
DFW,CHA,641,0,1,1,1,1,0,10,0,10,10,10,0
DFW,CHS,251,0,1,1,1,10,10,10,10,10,10,10,10
DFW,MHK,985,0,1,1,1,1,1,1,10,10,10,1,1
DFW,SAF,973,0,1,1,10,1,0,0,10,10,10,1,1
DFW,TYR,1611,0,1,1,1,1,0,0,0,10,10,0,0
PHX,SLC,5485,0,1,0,0,0,0,10,0,0,10,0,10
AUS,JFK,1589,1,1,1,10,10,2,1,10,0,10,2,10
DFW,LGA,4521,1,1,1,0,1,0,2,0,2,10,1,1
DFW,ICT,805,1,1,1,1,1,0,0,10,10,10,0,0
SAN,DEN,4189,0,1,0,0,10,1,0,0,10,10,1,1
DEN,MSO,567,2,1,10,10,10,1,2,1,10,10,0,1
DEN,MAF,1087,1,1,1,1,10,0,10,0,10,10,10,1
DFW,TXK,976,1,1,1,1,1,0,10,10,0,10,0,0
DFW,TLH,661,1,1,1,1,1,0,10,0,10,10,10,0
ORD,PHL,4744,1,1,1,1,0,0,0,0,2,10,2,1
MEM,DFW,865,0,1,1,0,1,1,10,0,10,10,10,1
APN,DTW,573,0,1,1,0,0,0,0,0,2,10,0,1
DFW,FLL,2696,0,1,1,10,1,1,10,10,10,10,0,1
CMH,ORD,3264,0,1,1,1,1,2,2,0,1,10,1,1
CVG,ORD,4115,0,1,1,1,1,2,2,1,1,10,1,1
DFW,SFO,4555,0,1,1,0,1,0,0,0,0,10,0,1
DFW,SJC,1512,1,1,1,1,1,10,10,10,10,10,1,1
